ID,CustomerID,Status,Timestamp,Review,Platform,User
9888,1362,1,2024-12-26 03:32:56,Coffee was too bitter for my taste.,Instagram,user3
3691,7893,1,2024-11-18 02:39:30,Fast service and clean location.,Yelp,coffee_addict
1612,8088,1,2024-10-10 23:52:24,"Good service. This location is convenient but cramped. The seating is pretty average. Still, they have a decent selection of drinks. The staff seemed knowledgeable and made my drink perfectly.",Facebook,TheRealBob
5006,3174,1,2024-09-30 02:10:21,Good location and delicious coffee,Facebook,joe.doe@gmail.com
2933,5576,1,2024-10-09 01:51:04,The location was clean and inviting. I also like that there is a variety of seating because sometimes I want to cuddle up with my coffee and read and other times I prefer a tall chair and table so I can work on projects.,Tiktok,that_coffe
188,7159,1,2024-12-10 16:05:44,The coffee I ordered was not hot and the person behind me got their drink order before me even thought I ordered first. Overall it was an average experience and I doubt I will be going back.,Twitter,@coffee_critic
4316,3309,1,2024-11-04 22:53:59,The staff was very friendly and the coffee was great! I would definitely recommend this place to anyone looking for a good cup of coffee.,Facebook,@joesmith
6818,4557,1,2024-12-28 07:07:24,"I had a great experience at this coffee truck. The service was good, and the wait time was short. I ordered a latte, and it was delicious. The atmosphere was cozy and inviting, and there were plenty of places to sit. I would definitely recommend this coffee truck to others.",Instagram,coffee_lover_123
2080,1265,1,2024-10-08 14:54:04,"Great coffee, friendly staff a bit of a wait (5-10 min) but great cozy place.",Instagram,@coffeebean_enthusiast
6620,8399,1,2024-12-23 11:16:28,"I had a great experience at this location! The wait time was short, and the staff were friendly and fast. I ordered a brewed coffee and it was delicious. The seating area has a cozy atmosphere and is a nice place to relax. Overall, I had a positive experience and would recommend this location.",Facebook,joesmith
7822,8118,1,2024-09-12 18:20:40,The coffee was ok but the atmosphere was so relaxing. So many cozy seating area to curl up in and relax.,Instagram,@fancy_coffee
163,3797,1,2024-11-02 19:14:32,The coffee was too bitter and weak. I will not be going back.,Twitter,CoffeeHater101
3079,4433,1,2024-12-09 10:21:32,"The service at this location was great. The staff was friendly and helpful, and they made sure my coffee was made just the way I liked it.",Facebook,customer1
579,3731,1,2024-11-07 10:34:14,"I had a great experience today! The barista was friendly and attentive, and my coffee was delicious! The coffee truck was also very clean and comfortable. #coffee #barista #clean",Twitter,coffee_lover_350
2739,6126,1,2024-10-07 07:06:58,"The coffee was hot, fresh, and delicious. I would definitely come back to this location again.",Google,anonymized
4457,8704,1,2024-10-21 11:24:55,The staff was very friendly and the service was fast. The coffee was excellent and I would definitely recommend this place to others.,Facebook,coffee_lover_123
7705,2274,1,2024-09-09 17:48:34,"This coffee truck is amazing! The staff are always so friendly and welcoming, and the coffee is always fresh and delicious. I love coming here to relax and enjoy a cup of coffee.",Facebook,@coffeelover123
877,3347,1,2024-10-01 03:32:29,Noisy Location,Twitter,@coffee_addict
4478,4364,1,2024-12-06 09:55:39,The service was great and the coffee was even better. I especially liked the variety of milk alternatives.,Facebook,johndoe123
7704,9432,1,2024-11-21 17:19:38,"I had a great experience at this coffee truck. The service was fast and friendly, and the coffee was delicious. I would definitely recommend this place to others.",Twitter,@coffeelover987
260,9464,1,2024-11-24 18:38:15,"Great coffee and friendly staff, will definitely go again.",Facebook,@joebloggs
7447,9889,1,2024-11-22 12:13:38,"I was very impressed with the cozy seating areas and the variety of milk alternatives. The staff was friendly and helpful, and the coffee was delicious. I will definitely be coming back to this location.",Google,coffee_bean_123
7868,7769,1,2024-12-04 23:30:23,Bad service and very overpriced. They seemed very unfriendly because I did not understand the menu.,Yelp,FoodieGuy
7687,4725,1,2024-12-08 05:21:05,"Great coffee, friendly staff, and a cozy atmosphere. I love coming here to relax and enjoy a cup of coffee.",Google,@johnsmith
6093,3498,1,2024-10-28 23:00:40,Great coffee,Facebook,@coffee
3998,8844,1,2024-10-11 08:15:50,"I had a very disappointing experience at this coffee truck. The service was terrible - the staff were rude and inattentive, and we had to wait a long time for our food and drinks. The food itself was mediocre at best - the coffee was weak and the pastries were stale. The shop itself was also very cramped and noisy, making it difficult to relax and enjoy our time there. To top it all off, the prices were very high, making the whole experience even worse. I would definitely not recommend this place to anyone.",Google,coffee_lover
3382,5052,1,2024-09-25 22:17:41,I loved the variety of snacks and drinks.,Twitter,user1
3320,3086,1,2024-11-21 22:53:25,Fast service and clean location.,Twitter,user2
4330,9252,1,2024-12-16 15:51:47,"Great coffee, cozy atmosphere.",Instagram,anonymous
3013,2281,1,2024-11-04 06:02:27,Friendly staff and short wait time.,Twitter,user2
9991,4032,1,2024-12-03 14:21:11,"Great coffee, quick service, and a peaceful environment.",Google,peaceful_drinker
10001,6092,1,2024-11-15 13:11:56,"Loved the latte art and the friendly barista!",Instagram,coffee_art_luvr
10002,3075,1,2024-10-22 18:47:35,"The location is noisy, but the coffee is amazing.",Twitter,@coffee_noise
10003,8531,1,2024-12-01 10:53:22,"I had a bad experience today; the staff seemed uninterested.",Yelp,reviewer101
10004,2048,1,2024-10-09 08:16:45,"Great place for remote work with free Wi-Fi and power outlets.",Facebook,techie_worker
10005,3204,1,2024-09-29 09:35:17,"I didn’t like the pastries, but the espresso was fantastic.",Google,@pastry_critic
10006,7130,1,2024-12-05 15:24:19,"Cozy ambiance but slightly overpriced coffee.",Instagram,warmvibes_coffee
10007,4278,1,2024-11-20 07:50:31,"Excellent service and a great variety of drinks.",Facebook,coffee_dreams
10008,5123,1,2024-10-14 21:19:59,"I enjoyed the iced coffee; it was refreshing and well-made.",Google,summercoffee
10009,2385,1,2024-12-10 11:45:10,"The barista forgot my order, but they quickly fixed it.",Yelp,fair_reviewer
10010,7820,1,2024-11-25 17:31:20,"The cappuccino was perfect, and the seating was comfortable.",Twitter,@cap_cup
10011,4049,1,2024-10-13 06:39:47,"A delightful experience with a rustic decor.",Google,rustic_enthusiast
10012,9598,1,2024-12-19 14:12:58,"It’s a hidden gem with amazing flat whites!",Instagram,hiddencoffee
10013,6512,1,2024-09-17 18:27:38,"The service was slow, but the coffee was worth the wait.",Twitter,@patient_drink
10014,2731,1,2024-11-28 20:39:04,"Great for group meetings; plenty of large tables.",Facebook,team_meet
10015,3896,1,2024-12-16 22:05:51,"I loved the festive seasonal drinks menu!",Instagram,festive_sipper
10016,7903,1,2024-10-20 09:56:32,"There’s limited parking, but the coffee truck is great.",Yelp,mobile_coffee
10017,4847,1,2024-11-26 07:43:25,"The staff were polite and quick; highly recommended.",Google,fast_n_polite
10018,9032,1,2024-12-21 13:23:09,"This place is perfect for catching up with friends.",Facebook,social_sipper
10019,5021,1,2024-09-26 04:12:18,"The mocha was overly sweet, but the ambiance was nice.",Instagram,sweettooth
10020,3005,1,2024-12-24 16:17:48,"Love the eco-friendly cups; great initiative!",Google,eco_friend
10021,7701,1,2024-10-12 19:09:05,"A must-visit spot for coffee enthusiasts.",Twitter,coffeejunkie42
